Name	BIBCode	Title	PubInfo	Citations	date
Voigt, Lisa Marie	2005PhDT........84V	An X-ray study of gas and dark matter in clusters of galaxies	PhD Thesis, University of Cambridge, 2005	0	2005
Worsley, Matthew Alexander	2005PhDT.......239W	Absorbed emission from active galactic nuclei and the resolution of the x-ray background	PhD Thesis, University of Cambridge, 2005	0	2005
Kappes, Michael	2005PhDT.......250K	X-rays from irregular dwarf galaxies : The connection between coronal gas and high energetic stellar events	PhD Thesis, University of Bonn, 2005	0	2005
Migliari, Simone	2005PhDT.......251M	Disc-jet coupling in neutron star and black hole binaries	Ph.D. Thesis, Astronomical Institute Anton Pannekoek, University of Amsterdam, The Netherlands, 2005. Advisor: M.B.M. van der Klis	0	2005
Petz, Alexander	2005PhDT.......337P	Modeling atmospheres of classical novae in X-rays with PHOENIX	PhD Thesis, University of Hamburg, 2005	0	2005
Ouellette, Michelle Suzanne	2005PhDT.........2O	Heating and cooling of neutron star crusts	Ph.D dissertation, 2005. 124 pages; United States -- Michigan: Michigan State University; 2005. Publication Number: AAT 3171508. DAI-B 66/04, p. 2114, Oct 2005	1	2005
Donato, Davide	2005PhDT........21D	The X-ray view of radio-loud active galactic nuclei: The central engine and its environment	Ph.D dissertation, 2005.  Section 0883, Part 0606 200 pages; United States -- Virginia: George Mason University; 2005. Publication Number: AAT 3194537. DAI-B 66/11, May 2006	1	2005
Hojnacki, Susan M.	2005PhDT.......237H	A source classification algorithm for astronomical X-ray imagery of stellar clusters	PhD Thesis, Rochester Institute of Technology, 2005	1	2005
Laroque, Samuel J.	2005PhDT.........4L	Constraints on cluster structure and cosmology from X-ray and Sunyaev-Zel&#39;&#39;dovich effect properties of galaxy clusters	Ph.D dissertation, 2005.  218 pages; United States -- Illinois: The University of Chicago; 2005. Publication Number: AAT 3181369. DAI-B 66/07, p. 3753, Jan 2006	4	2005
Edge, William Raymond Tarratt	2005PhDT.........3E	Studies of Be X-ray binaries in the Magellanic Clouds	PhD Thesis,  Proquest Dissertations And Theses 2005. Section 5036, Part 0606 209 pages; [Ph.D. dissertation].England: University of Southampton (United Kingdom); 2005. Publication Number: AAT C823833. DAI-C 67/02, p. 727, Summer 2006	6	2005
Liu, Jifeng	2005PhDT........12L	Ultra-luminous X-ray sources	Ph.D dissertation, 2005.  Section 0127, Part 0606 314 pages; United States -- Michigan: University of Michigan; 2005. Publication Number: AAT 3192709. DAI-B 66/10, Apr 2006	6	2005
Sun, Ming	2005PhDT........14S	Hot X-ray gas in galaxies, groups and clusters	Ph.D dissertation, 2005.  248 pages; United States -- Massachusetts: Harvard University; 2005. Publication Number: AAT 3174046. DAI-B 66/05, p. 2633, Nov 2005	7	2005
Zakamska, Nadia L.	2005PhDT.........5Z	Type II quasars from the Sloan Digital Sky Survey	Ph.D dissertation, 2005.  Section 0181, Part 0606 225 pages; United States -- New Jersey: Princeton University; 2005. Publication Number: AAT 3188679. DAI-B 66/09, Mar 2006	0	2005
Gutierrez, Kristopher James	2005PhDT.........7G	Temporal dynamics of blazar 1ES 1959+650 and galaxy cluster interactions of Abell 115	Ph.D dissertation, 2005.  Section 0252, Part 0606 123 pages; United States -- Missouri: Washington University; 2005. Publication Number: AAT 3191289. DAI-B 66/10, Apr 2006	0	2005
Evans, Daniel A.	2005PhDT.........5E	The Origin of X-ray Emission in the Nuclei of Radio Galaxies	PhD Thesis, University of Bristol, 2005.	1	2005
